content,score
"Suka sih transaksi pakai aplikasi Blu by BCA, cuma ada kekurangan fitur buat menampilkan QR Code untuk pembayaran belom ada,adanya cuma untuk menerima dana, yang mungkin aku belum tau fiturnya ada atau engga,soalnya aku cari ya ga ada...mudahan ada update sih kalo memang ga ada,biar ga bingung waktu pembayaran ke Supermarket...",3
"cukup baik, tolong perbaiki : 1. Tolong beri waktu lebih lama ketika user lagi keluar dari aplikasi blu, jangan baru keluar 10-15 detik dari aplikasi, balik lagi ke laman awal login aps. 2. Responsibilitas saat pindah antar menu dalam aplikasi diperbaiki biar lebih gesit.",4
"Baru aja Daftar kemarin, kayaknya sekarang sudah mulai ada perubahan yang tadinya berat, lemot alias lelet, mulai terasa ringan mulai dari log in, ataupun mau transaksi sekarang sudah mulai terasa smootth meskipun masih ada lag lag , kalau bisa untuk animasinya di perhalus lagi ya kalau bisa d hilangkan saja biar tidak terlalu membebani aplikasi nya. Next Update Sistemnya ditingkatkan lagi dan disempurnakan. Sementara Bintang 4 dulu",4
"Sudah beberapa kali mau bayar atau mau transfer tapi aplikasi tidak bisa di buka, stack di halaman masuk / putih aja di saat buka BCA dan aplikasi lain lancar. jadi takut klok semua uang di masuin disana trus mau di pakai ga ada yang bantu transfer dari orang terdekat. *tidak ada update di play store",1
"secara keseluruhan fitur mantap mudah digunakan, TAPI KEKURANGANNYA aplikasinya lemot banget kalo mau buka fitur/login kalo udah ada kubus muter tulisan blu dah dag dig dug bakal berhasil apa engga nich, semoga bisa segera diperbaiki untuk ke efisienan penggunaan aplikasi dalam bertransaksi #salamhangatpenggunablu",3
"mungkin karena terlalu secure bertransaksi jadi lemotnya terasa sekali. cocok buat tabungan berjangka aja bukan buat transaksi sehari hari deh. fast respon memang ku akui CS nya. tapi ya itu, aplikasinya berat.",3
"saya sangat suka memakai aplikasi blue by BCA digital ini,tapi mungkin utk aplikasinya bisa di update lebih responsif pada saat mau login atau trf lebih cepet kdg masih bug lumayan lambat mau login aplikasi nya muter2 lama kurang set. masih lumayan lambat terimakasih semoga membantu saya sangat suka hanya itu saja kekurangan nya mnurut saya",5
"bukannya memudahkan, blu malah bikin susah. transisi antar buka tutup aplikasi sangatlah lelet serasa ada loading. Mohon diupdate dan efisiensikan untuk kenyamanan pengguna, jangan kalah sama aplikasi bank yang lain dimana aplikasi mereka lancar tanpa ada nunggu dulu.",1
"Saran lagi nih buat apk blu, buat updetan sekarang sudah lumayan lah dan agak cepat sedikit dari yg lama disaat transaksi, tpi masih mmiliki bnyak kkurangan atau bug, dan disaat buka apknya agak lemot bnyak sekali loadingnya, padahal jaringan bagus, sehingga memakan waktu yg agak lama, saat buka pin juga delay, Saran, alangkah baiknya dibikin yg simpel aja, agar saat transaksi lebih cepat saat digunakan di berbagai macam jenis hp dari hp spek rendah, agar blu bisa dgunakan di brbagai kalangan",2
"1. aplikasi berat/kurang optimalisasi. Saya telah mencoba di samsung a55 dan iphone 14 pro (app store yaa, bukan ip hdc), tetapi untuk membuka halaman qris saja memakan waktu yang lumayan lama dibandingkan m-bangking lain (terjadi pada setiap membuka halaman). 2. sekarang transfer dari bca ke blu sudah ada biaya admin. Saya secara personal, tertarik untuk memakai blu karena sebelumnya tidak ada biaya admin.",1
