score,stemmed,text_akhir,polarity_score,polarity,sentiment
3,"['suka', 'transaksi', 'pakai', 'aplikasi', 'blu', 'bca', 'kurang', 'fitur', 'tampil', 'qr', 'code', 'bayar', 'adaadanya', 'terima', 'dana', 'fiturnya', 'enggasoalnya', 'cari', 'adamudahan', 'update', 'adabiar', 'bingung', 'bayar', 'supermarket']",suka transaksi pakai aplikasi blu bca kurang fitur tampil qr code bayar adaadanya terima dana fiturnya enggasoalnya cari adamudahan update adabiar bingung bayar supermarket,-4,negative,-1
4,"['tolong', 'baik', 'tolong', 'user', 'aplikasi', 'blu', 'detik', 'aplikasi', 'laman', 'login', 'responsibilitas', 'pindah', 'menu', 'aplikasi', 'baik', 'biar', 'gesit']",tolong baik tolong user aplikasi blu detik aplikasi laman login responsibilitas pindah menu aplikasi baik biar gesit,-10,negative,-1
4,"['daftar', 'kemarin', 'kayak', 'ubah', 'berat', 'lelet', 'alias', 'lambat', 'ringan', 'log', 'transaksi', 'smootth', 'lag', 'lag', 'animasi', 'halus', 'hilang', 'biar', 'beban', 'aplikasi', 'update', 'sistem', 'tingkat', 'sempurna', 'bintang']",daftar kemarin kayak ubah berat lelet alias lambat ringan log transaksi smootth lag lag animasi halus hilang biar beban aplikasi update sistem tingkat sempurna bintang,-14,negative,-1
1,"['kali', 'bayar', 'transfer', 'aplikasi', 'buka', 'stack', 'halaman', 'masuk', 'putih', 'buka', 'bca', 'aplikasi', 'lancar', 'takut', 'klok', 'uang', 'masuin', 'sana', 'trus', 'pakai', 'bantu', 'transfer', 'orang', 'dekat', 'update', 'play', 'store']",kali bayar transfer aplikasi buka stack halaman masuk putih buka bca aplikasi lancar takut klok uang masuin sana trus pakai bantu transfer orang dekat update play store,-22,negative,-1
3,"['fitur', 'mantap', 'mudah', 'kurang', 'aplikasi', 'lelet', 'banget', 'buka', 'fiturlogin', 'kubus', 'muter', 'tulis', 'blu', 'deh', 'dag', 'dig', 'dug', 'hasil', 'engga', 'nich', 'moga', 'baik', 'efisien', 'guna', 'aplikasi', 'transaksi']",fitur mantap mudah kurang aplikasi lelet banget buka fiturlogin kubus muter tulis blu deh dag dig dug hasil engga nich moga baik efisien guna aplikasi transaksi,13,positive,1
3,"['secure', 'transaksi', 'lot', 'cocok', 'tabung', 'jangka', 'transaksi', 'hari', 'deh', 'fast', 'respon', 'aku', 'cs', 'aplikasi', 'berat']",secure transaksi lot cocok tabung jangka transaksi hari deh fast respon aku cs aplikasi berat,9,positive,1
5,"['suka', 'pakai', 'aplikasi', 'blu', 'bca', 'digital', 'initapi', 'aplikasi', 'update', 'responsif', 'login', 'trf', 'cepat', 'kdg', 'bug', 'lumayan', 'lambat', 'login', 'aplikasi', 'muter', 'set', 'lumayan', 'lambat', 'terimakasih', 'moga', 'bantu', 'suka', 'kurang', 'mnurut']",suka pakai aplikasi blu bca digital initapi aplikasi update responsif login trf cepat kdg bug lumayan lambat login aplikasi muter set lumayan lambat terimakasih moga bantu suka kurang mnurut,-6,negative,-1
1,"['mudah', 'blu', 'bikin', 'susah', 'transisi', 'buka', 'tutup', 'aplikasi', 'lambat', 'serasa', 'loading', 'mohon', 'diupdate', 'efisiensi', 'nyaman', 'guna', 'kalah', 'aplikasi', 'bank', 'mana', 'aplikasi', 'lancar', 'tunggu']",mudah blu bikin susah transisi buka tutup aplikasi lambat serasa loading mohon diupdate efisiensi nyaman guna kalah aplikasi bank mana aplikasi lancar tunggu,-11,negative,-1
2,"['saran', 'apk', 'blu', 'updetan', 'lumayan', 'cepat', 'saat', 'transaksi', 'mmiliki', 'bnyak', 'kkurangan', 'bug', 'saat', 'buka', 'apknya', 'lelet', 'bnyak', 'loadingnya', 'jaring', 'bagus', 'makan', 'buka', 'pin', 'delay', 'saran', 'alangkah', 'baik', 'bikin', 'simpel', 'transaksi', 'cepat', 'jenis', 'hp', 'hp', 'spek', 'rendah', 'blu', 'dgunakan', 'brbagai', 'kalang']",saran apk blu updetan lumayan cepat saat transaksi mmiliki bnyak kkurangan bug saat buka apknya lelet bnyak loadingnya jaring bagus makan buka pin delay saran alangkah baik bikin simpel transaksi cepat jenis hp hp spek rendah blu dgunakan brbagai kalang,5,positive,1
1,"['aplikasi', 'beratkurang', 'optimalisasi', 'coba', 'samsung', 'iphone', 'profesional', 'app', 'store', 'ip', 'hdc', 'buka', 'halaman', 'qris', 'makan', 'lumayan', 'banding', 'mbangking', 'buka', 'halaman', 'transfer', 'bca', 'blu', 'biaya', 'admin', 'personal', 'tarik', 'pakai', 'blu', 'biaya', 'admin']",aplikasi beratkurang optimalisasi coba samsung iphone profesional app store ip hdc buka halaman qris makan lumayan banding mbangking buka halaman transfer bca blu biaya admin personal tarik pakai blu biaya admin,-2,negative,-1
